ID,gedcom,sourceID,callnum,type,title,author,publisher,other,shorttitle,comments,actualtext,repoID,changedate,changedby
2296,Earlylds,S242,,,"USA - Illinois - Hancock County Tax Records",,,,,,,REPO7,"0000-00-00 00:00:00",Larry
56140,Earlylds,S54086,,,"Book - My Best for the Kingdom: History and Autobiography of John Lowe Butler","William G; Hartley","Aspen Books, Salt Lake City, Utah",,"My Best for the Kingdom -John Lowe Butler History",,,REPO51,"2009-05-25 22:38:52",foxgen
2289,Earlylds,S235,,,"USA - Illinois - Nauvoo Sexton Record of Burials, 1839-1846",,,,,,,REPO7,"0000-00-00 00:00:00",Larry
2283,Earlylds,S229,,,"LDS - Seventies Ordained After 1849, Autobiographies",,"LDS Church Archives",,,,,REPO3,"0000-00-00 00:00:00",Larry
2278,Earlylds,S224,,,"Book - A Grave Experience at the Mormon Pioneer Winter Quarters Cemetery","Jensen, Carlye B. and Gail George Holmes","Oct 1999",,,,,REPO14,"0000-00-00 00:00:00",Larry
2276,Earlylds,S222,,,"LDS - Seventies Records, Autobiographies",,"LDS Church Archives",,,,,REPO3,"0000-00-00 00:00:00",Larry
2271,Earlylds,S217,,,"Family History Research",,,,,,,,"0000-00-00 00:00:00",Larry
2270,Earlylds,S216,"FHL Film # 26418 Items 1-4",,"LDS - Record of members, [1860]-1950","Church of Jesus Christ of Latter-day Saints, Pine Valley Ward (Utah)","Salt Lake City, Utah : Filmed by the Genealogical Society of Utah, 1952",,,,,REPO4,"0000-00-00 00:00:00",Larry
2269,Earlylds,S215,"FHL Film #889413 Items 2-5, Index Item1",,"LDS - Lehi (Utah) Ward Records, Record of members, 1851-1903","Church of Jesus Christ of Latter-day Saints, Lehi Ward (Utah)","Salt Lake City, Utah : Filmed by the LDS Church Historian's Office, 1969",,,,,REPO4,"0000-00-00 00:00:00",Larry
2268,Earlylds,S214,"Manuscript Collection 1130 HBLL MSS SC 857",,"Manuscript - William Snow Journal","Snow William 1806-1879",,,,,,REPO2,"0000-00-00 00:00:00",Larry
2266,Earlylds,S212,,,"Periodical - Utah Genealogical and Historical Magazine",,,,,,,REPO2,"0000-00-00 00:00:00",Larry
2267,Earlylds,S213,"FHL Film #  944167",,"USA - Vermont - Town records, 1788-1843","Saint Johnsbury Vermont Town Clerk","Salt Lake City, Utah : Filmed by the Genealogical Society of Utah, 1951, 1973, 1993-1994",,,,,REPO4,"0000-00-00 00:00:00",Larry
2265,Earlylds,S211,"929.273 Sn61b",,"Book - Valiant in the Faith : Gardner and Sarah Snow and Their Family","Archibald F. and Ella M. Bennett and Barbara Bennett Roach","Murray, Utah : Roylance Publishing, c1990",,,,,REPO4,"0000-00-00 00:00:00",Larry
2264,Earlylds,S210,"mcd/C S69/B6",,"Newspaper - Boston Transcript Genealogy Newspaper Columns: Clippings of June 6, 1896 - April 30, 1941",,,,,,,REPO13,"0000-00-00 00:00:00",Larry
2258,Earlylds,S204,,,"LDS - Miller File","Miller, Rowena",,,,,,REPO7,"0000-00-00 00:00:00",Larry
2240,Earlylds,S186,,,"Database - Pedigree Resource File","Church of Jesus Christ of Latter-day Saints","Intellectual Reserve, Inc., Salt Lake City, Utah, 2001",,,,,REPO4,"0000-00-00 00:00:00",Larry
2237,Earlylds,S183,,,"Internet Link - Utah, Cemeteries and Burials Database","Utah State Historical Society",,,,,,REPO12,"2008-10-23 04:13:33",Larry
2239,Earlylds,S185,,,"Book - Profile of Latter-day Saints of Kirtland, Ohio and Members of Zion's Camp, 1830-1839; vital stats and sources","Backman, Milton V., Jr., Compiler","Brigham Young University, Provo, Utah, 1982",,,,,REPO3,"2008-10-24 02:22:24",Larry
2234,Earlylds,S180,,,"Book - Nauvoo Temple Officers and Laborers",,,,,,,REPO7,"0000-00-00 00:00:00",Larry
2199,Earlylds,S145,,,"LDS - Nauvoo Death Records",,,,,,,REPO7,"0000-00-00 00:00:00",Larry
2181,Earlylds,S127,,,"Book - Nauvoo Deaths and Marriages, 1839-1845","Cook, Lyndon W.","Grandin Book Company, Orem, Utah, 1994",,,,,REPO2,"0000-00-00 00:00:00",Larry
2175,Earlylds,S121,,,"Book - Conquerors of the West:  Stalwart Mormon Pioneers, 4 vols.","Youngberg, Florence C., Compiler","Sons of the Utah Pioneers, 1999",,,,,REPO2,"0000-00-00 00:00:00",Larry
2154,Earlylds,S100,,,"LDS - Seventies Ordained Before 1850, Autobiographies",,"LDS Church Archives",,,,,REPO3,"0000-00-00 00:00:00",Larry
2155,Earlylds,S101,,,"Database - Writings of Early Latter-day Saints and their Contemporaries","Backman, Milton V., Jr., Compiler",,,,,,REPO3,"0000-00-00 00:00:00",Larry
2144,Earlylds,S90,,,"LDS - Mount Pisgah Monument","Church of Jesus Christ of Latter-day Saints",1888,,,,,REPO11,"0000-00-00 00:00:00",Larry
2136,Earlylds,S82,,,"Book - Mormon Battalion: US Army of the West, 1846-1848","Ricketts, Norma Baldwin",,,,,,REPO2,"0000-00-00 00:00:00",Larry
2131,Earlylds,S77,,,"USA - Nebraska - Winter Quarters & Mt. Pisgah Burial & Death Records",,,,,,,REPO3,"0000-00-00 00:00:00",Larry
2129,Earlylds,S75,,,"Internet Link - Pottawattamie County Information",,,,,,,REPO10,"2008-10-23 04:10:55",Larry
2127,Earlylds,S73,,,"Article - ""Tragedy at Winter Quarters, Alphabetical Listing of Saints""","Jenson, Andrew","Salt Lake Deseret News, 5 Sep-7 Nov 1936",,,,,REPO4,"0000-00-00 00:00:00",Larry
2128,Earlylds,S74,,,"Internet Link - RootsWeb WorldConnect Family Trees",,,,,,,REPO9,"2008-10-23 04:11:34",Larry
2125,Earlylds,S71,,,"Database - Nauvoo Databank",,,,,,,REPO6,"0000-00-00 00:00:00",Larry
2115,Earlylds,S61,,,"LDS - High Priests, Nauvoo and Salt Lake",,,,,,,REPO3,"0000-00-00 00:00:00",Larry
2114,Earlylds,S60,,,"LDS - Early High Priests, Autobiographies",,,,,,,REPO3,"0000-00-00 00:00:00",Larry
2112,Earlylds,S58,,,"Book - LDS Biographical Encyclopedia, 4 vols","Jenson, Andrew","Andrew Jenson History Co., Salt Lake City, Utah, 1901",,,,,REPO2,"0000-00-00 00:00:00",Larry
2110,Earlylds,S56,,,"RLDS - Early Members of the Reorganized Church of Jesus Christ of Latter Day Saints, 6 vols.","Susan Easton Black, compiler",,,,,,REPO3,"0000-00-00 00:00:00",Larry
2103,Earlylds,S49,,,"LDS - 1842 Nauvoo LDS Census","Church of Jesus Christ of Latter-day Saints",,,,,,REPO7,"0000-00-00 00:00:00",Larry
2097,Earlylds,S43,,,"Book - Pioneers of 1847","Black, Susan Easton, Compiler","Provo, Utah 1980",,,,,REPO2,"0000-00-00 00:00:00",Larry
2094,Earlylds,S40,,,"Book - Mormon Redress Petitions - Documents of the 1833-1838 Missouri Conflict","Johnson, Clark V., Editor","Religious Studies Center Monograph Series, Vol 16, Brigham Young University, Provo, Utah",,,,,REPO3,"0000-00-00 00:00:00",Larry
2093,Earlylds,S39,,,"Book - Winter Quarters Wards Membership Lists 1846 - 1848","Historical Department Church of Jesus Christ of Latter-day Saints",,,,,,,"2010-09-22 19:20:05",FoxGen
2091,Earlylds,S37,,,"USA - 1870 United States Census","US Census Bureau",,,,,,REPO8,"0000-00-00 00:00:00",Larry
2090,Earlylds,S36,,,"USA - 1860 United States Census","US Census Bureau",,,,,,REPO8,"0000-00-00 00:00:00",Larry
2089,Earlylds,S35,,,"Internet Link - Ancestral File","The Church of Jesus Christ of Latter-day Saints","Copyright (c) 1987, June 1998",,,,,REPO1,"2008-10-23 03:47:00",Larry
2088,Earlylds,S34,,,"Book - History of the Nauvoo Legion in Illinois","Sweeney, John, Jr.","MA Thesis, Brigham Young University",,,,,REPO2,"0000-00-00 00:00:00",Larry
2087,Earlylds,S33,,,"LDS - Seventies: Early Seventies","Black, Harvey Bischoff, Compiler and Editor",,,,,,REPO3,"0000-00-00 00:00:00",Larry
1487,Earlylds,S54091,,,"Internet Link - Pioneer Overland Travel, 1847 - 1868",,,,,,,REPO1,"2011-01-29 13:53:10",FoxGen
2082,Earlylds,S28,,,"LDS - Nauvoo Marriage Record","Nauvoo Restoration Incorporated",,,,,,REPO7,"0000-00-00 00:00:00",Larry
2079,Earlylds,S25,,,"USA - Illinois - Hancock County Marriage Index, 1829-1849","Tri-County Genealogical Society, compiler",1983,,,,,REPO7,"0000-00-00 00:00:00",Larry
2077,Earlylds,S23,,,"Family Records",,"Submitted by patrons to Land and Records Office",,,,,REPO7,"0000-00-00 00:00:00",Larry
2076,Earlylds,S22,,,"LDS - Early Mormon Records",,,,,,,REPO7,"0000-00-00 00:00:00",Larry
2075,Earlylds,S21,,,"LDS - List of Known Dead Buried in Old Nauvoo Burial Ground",,,,,,,REPO6,"0000-00-00 00:00:00",Larry
2072,Earlylds,S18,,,"Book - Guide to Mormon Diaries","Bitton, Davis",,,,,,REPO2,"0000-00-00 00:00:00",Larry
2073,Earlylds,S19,,,"Book - Pioneers and Prominent Men of Utah, 2 vols","Esshom, Frank","Salt Lake City:  1913",,,,,REPO4,"0000-00-00 00:00:00",Larry
2069,Earlylds,S15,,,"USA - 1850 United States Census","US Census Bureau",,,,,,REPO8,"0000-00-00 00:00:00",Larry
2067,Earlylds,S13,,,"Internet Link - Pioneer Research Group Project - http://www.pioneerresearchgroup.org",,,,,,,REPO5,"2008-10-23 04:10:16",Larry
2066,Earlylds,S12,,,"Internet Link - BYU Winter Quarters Project - http://winterquarters.byu.edu",,,,,,,,"2008-10-23 03:51:30",Larry
2064,Earlylds,S10,,,"Periodical - The Nauvoo Journal",,"Salt Lake City, Utah, 1989-1999",,,,,REPO2,"0000-00-00 00:00:00",Larry
2065,Earlylds,S11,,,"Book - Treasures of Pioneer History, 6 vols.","Carter, Kate B., Compiler","Daughers of the Utah Pioneers, Salt Lake City, Utah, 1952-1957",,,,,REPO3,"0000-00-00 00:00:00",Larry
2063,Earlylds,S9,,,"Book - Pioneer Women of Faith and Fortitude, 4 vols","International Society of Daughters of the Utah Pioneers","Salt Lake City, Utah, 1998",,,,,REPO2,"0000-00-00 00:00:00",Larry
2062,Earlylds,S8,,,"Book - Our Pioneer Heritage, 20 vols.","Daughters of the Utah Pioneers","Salt Lake City: 1958-1977",,,,,REPO3,"0000-00-00 00:00:00",Larry
2061,Earlylds,S7,,,"LDS - Nauvoo Temple Endowment Register","Church of Jesus Christ of Latter-day Saints",1845-1846,,,,,REPO4,"0000-00-00 00:00:00",Larry
2060,Earlylds,S6,,,"LDS - Membership of The Church of Jesus Christ of Latter-day Saints:1830-1848, 50 vols.","Black, Susan Easton, Compiler","LDS Church, Salt Lake City, 1990",,,,,REPO4,"0000-00-00 00:00:00",Larry
2059,Earlylds,S5,,,"Book - Heart Throbs of the West, 12 vols.","Carter, Kate B., compiler","Daughters of the Utah Pioneers, Salt Lake City, Utah, 1939-1951",,,,,REPO3,"0000-00-00 00:00:00",Larry
2058,Earlylds,S4,,,"Book - Annotated Record of Baptisms for the Dead, Nauvoo, 7 vols.","Black, Susan Easton","Brigham Young University, Provo, Utah 84602",,,,,REPO2,"0000-00-00 00:00:00",Larry
2057,Earlylds,S3,,,"LDS - Iowa Branches Members Index 1829 - 1859, Volumes I and II","Watt, Ronald G.","Historical Department Church of Jesus Christ of Latter-day Saints 1991,",,,,,,"0000-00-00 00:00:00",Larry
